"Facility ID","Facility Name","Hospital Type","Address","City/Town","State","ZIP Code","County/Parish","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH_26_DOPC,Clostridium Difficile (C.Diff): Patient Days,77137,,01/01/2024,12/31/2024
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH_26_ELIGCASES,Clostridium Difficile (C.Diff): Predicted Cases,81.887,,01/01/2024,12/31/2024
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH_26_NUMERATOR,Clostridium Difficile (C.Diff): Actual Infections,55,,01/01/2024,12/31/2024
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH_26_SIR,Clostridium Difficile (C.Diff): SIR,0.672,,01/01/2024,12/31/2024
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH_27_DOPC,MRSA Bacteremia: Patient Days,77137,,01/01/2024,12/31/2024
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH_27_ELIGCASES,MRSA Bacteremia: Predicted Cases,7.411,,01/01/2024,12/31/2024
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH_27_NUMERATOR,MRSA Bacteremia: Actual Infections,4,,01/01/2024,12/31/2024
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH_27_SIR,MRSA Bacteremia: SIR,0.540,,01/01/2024,12/31/2024
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH_28_FAC_ADHPCT,Influenza Vaccination Coverage among Healthcare Personnel: Adherence Rate,91,,10/01/2024,03/31/2025
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH_28_FAC_DEN,Influenza Vaccination Coverage among Healthcare Personnel: Denominator,7143,,10/01/2024,03/31/2025
